athlete,age,country,year,closing_ceremony_date,sport,gold,silver,bronze,total
Bernhard Gruber,27,Austria,2010,2/28/10,Nordic Combined,1,0,1,2
Magnus Moan,22,Norway,2006,2/26/06,Nordic Combined,0,1,1,2
Ronny Ackermann,24,Germany,2002,2/24/02,Nordic Combined,0,2,0,2
Jaakko Tallus,20,Finland,2002,2/24/02,Nordic Combined,1,1,0,2
Denis Ablyazin,19,Russia,2012,8/12/12,Gymnastics,0,1,1,2
Chen Yibing,27,China,2012,8/12/12,Gymnastics,1,1,0,2
Gabby Douglas,16,United States,2012,8/12/12,Gymnastics,2,0,0,2
Feng Zhe,24,China,2012,8/12/12,Gymnastics,2,0,0,2
Sandra Izbasa,22,Romania,2012,8/12/12,Gymnastics,1,0,1,2
Viktoriya Komova,17,Russia,2012,8/12/12,Gymnastics,0,2,0,2
McKayla Maroney,16,United States,2012,8/12/12,Gymnastics,1,1,0,2
Marcel Nguyen,24,Germany,2012,8/12/12,Gymnastics,0,2,0,2
Mariya Paseka,17,Russia,2012,8/12/12,Gymnastics,0,1,1,2
Catalina Ponor,24,Romania,2012,8/12/12,Gymnastics,0,1,1,2
Louis Smith,23,Great Britain,2012,8/12/12,Gymnastics,0,1,1,2
Max Whitlock,19,Great Britain,2012,8/12/12,Gymnastics,0,0,2,2
Chen Yibing,23,China,2008,8/24/08,Gymnastics,2,0,0,2
Anton Golotsutskov,23,Russia,2008,8/24/08,Gymnastics,0,0,2,2
He Kexin,16,China,2008,8/24/08,Gymnastics,2,0,0,2
Jonathan Horton,22,United States,2008,8/24/08,Gymnastics,0,1,1,2
Sandra Izbasa,18,Romania,2008,8/24/08,Gymnastics,1,0,1,2
Li Xiaopeng,27,China,2008,8/24/08,Gymnastics,2,0,0,2
Kohei Uchimura,19,Japan,2008,8/24/08,Gymnastics,0,2,0,2
Xiao Qin,23,China,2008,8/24/08,Gymnastics,2,0,0,2
Alexandra Eremia,17,Romania,2004,8/29/04,Gymnastics,1,0,1,2
Annia Hatch,26,United States,2004,8/29/04,Gymnastics,0,2,0,2
Terin Humphrey,18,United States,2004,8/29/04,Gymnastics,0,2,0,2
Takehiro Kashima,24,Japan,2004,8/29/04,Gymnastics,1,0,1,2
Svetlana Khorkina,25,Russia,2004,8/29/04,Gymnastics,0,1,1,2
Courtney Kupets,18,United States,2004,8/29/04,Gymnastics,0,1,1,2
Anna Pavlova,16,Russia,2004,8/29/04,Gymnastics,0,0,2,2
Monica Rosu,17,Romania,2004,8/29/04,Gymnastics,2,0,0,2
Dana Sofronie,16,Romania,2004,8/29/04,Gymnastics,1,1,0,2
Hiroyuki Tomita,23,Japan,2004,8/29/04,Gymnastics,1,1,0,2
Marius Urzica,28,Romania,2004,8/29/04,Gymnastics,0,1,1,2
Isao Yoneda,26,Japan,2004,8/29/04,Gymnastics,1,0,1,2
Yordan Yovchev,31,Bulgaria,2004,8/29/04,Gymnastics,0,1,1,2
Oleksandr Beresh,22,Ukraine,2000,10/1/00,Gymnastics,0,1,1,2
Aleksey Bondarenko,22,Russia,2000,10/1/00,Gymnastics,0,1,1,2
Lee Ju-Hyeong,27,South Korea,2000,10/1/00,Gymnastics,0,1,1,2
Li Xiaopeng,19,China,2000,10/1/00,Gymnastics,2,0,0,2
Liu Xuan,21,China,2000,10/1/00,Gymnastics,1,0,1,2
Maria Olaru,18,Romania,2000,10/1/00,Gymnastics,1,1,0,2
Yelena Produnova,20,Russia,2000,10/1/00,Gymnastics,0,1,1,2
Andreea Raducan,16,Romania,2000,10/1/00,Gymnastics,1,1,0,2
Yang Wei,20,China,2000,10/1/00,Gymnastics,1,1,0,2
Yordan Yovchev,27,Bulgaria,2000,10/1/00,Gymnastics,0,0,2,2
Elisa Di Francisca,29,Italy,2012,8/12/12,Fencing,2,0,0,2
Arianna Errigo,24,Italy,2012,8/12/12,Fencing,1,1,0,2
Diego Occhiuzzi,31,Italy,2012,8/12/12,Fencing,0,1,1,2
Sun Yujie,19,China,2012,8/12/12,Fencing,1,0,1,2
Valentina Vezzali,38,Italy,2012,8/12/12,Fencing,1,0,1,2
Stefano Carozzo,29,Italy,2008,8/24/08,Fencing,0,0,2,2
Margherita Granbassi,28,Italy,2008,8/24/08,Fencing,0,0,2,2
Sada Jacobson,25,United States,2008,8/24/08,Fencing,0,1,1,2
Fabrice Jeannet,27,France,2008,8/24/08,Fencing,1,1,0,2
Nicolas Lopez,27,France,2008,8/24/08,Fencing,1,1,0,2
Matteo Tagliariol,25,Italy,2008,8/24/08,Fencing,1,0,1,2
Valentina Vezzali,34,Italy,2008,8/24/08,Fencing,1,0,1,2
Becca Ward,18,United States,2008,8/24/08,Fencing,0,0,2,2
Mariel Zagunis,23,United States,2008,8/24/08,Fencing,1,0,1,2
Andrea Cassar_,20,Italy,2004,8/29/04,Fencing,1,0,1,2
Laura Flessel-Colovic,32,France,2004,8/29/04,Fencing,0,1,1,2
Aldo Montano,25,Italy,2004,8/29/04,Fencing,1,1,0,2
Maureen Nisima,23,France,2004,8/29/04,Fencing,0,0,2,2
Salvatore Sanzo,28,Italy,2004,8/29/04,Fencing,1,1,0,2
Mathieu Gourdain,26,France,2000,10/1/00,Fencing,0,2,0,2
Gianna Habl_tzel-B_rki,30,Switzerland,2000,10/1/00,Fencing,0,2,0,2
Rita K_nig,23,Germany,2000,10/1/00,Fencing,0,1,1,2
Wiradech Kothny,21,Germany,2000,10/1/00,Fencing,0,0,2,2
Hugues Obry,27,France,2000,10/1/00,Fencing,0,2,0,2
Giovanna Trillini,30,Italy,2000,10/1/00,Fencing,1,0,1,2
Valentina Vezzali,26,Italy,2000,10/1/00,Fencing,2,0,0,2
Sandra Auffarth,25,Germany,2012,8/12/12,Equestrian,1,0,1,2
Laura Bechtolsheimer,27,Great Britain,2012,8/12/12,Equestrian,1,0,1,2
Adelinde Cornelissen,33,Netherlands,2012,8/12/12,Equestrian,0,1,1,2
Charlotte Dujardin,27,Great Britain,2012,8/12/12,Equestrian,2,0,0,2
Michael Jung,29,Germany,2012,8/12/12,Equestrian,2,0,0,2
Gerco Schr_der,34,Netherlands,2012,8/12/12,Equestrian,0,2,0,2
Tina Cook,37,Great Britain,2008,8/24/08,Equestrian,0,0,2,2
Heike Kemmer,46,Germany,2008,8/24/08,Equestrian,1,0,1,2
Eric Lamaze,40,Canada,2008,8/24/08,Equestrian,1,1,0,2
Beezie Madden,44,United States,2008,8/24/08,Equestrian,1,0,1,2
Hinrich Romeike,45,Germany,2008,8/24/08,Equestrian,2,0,0,2
Anky van Grunsven,40,Netherlands,2008,8/24/08,Equestrian,1,1,0,2
Isabell Werth,39,Germany,2008,8/24/08,Equestrian,1,1,0,2
Beatriz Ferrer-Salat,38,Spain,2004,8/29/04,Equestrian,0,1,1,2
Pippa Funnell,35,Great Britain,2004,8/29/04,Equestrian,0,1,1,2
Chris Kappler,37,United States,2004,8/29/04,Equestrian,1,1,0,2
Marco Kutscher,29,Germany,2004,8/29/04,Equestrian,0,0,2,2
Leslie Law,39,Great Britain,2004,8/29/04,Equestrian,1,1,0,2
Ulla Salzgeber,46,Germany,2004,8/29/04,Equestrian,1,1,0,2
Kim Severson,30,United States,2004,8/29/04,Equestrian,0,1,1,2
Andrew Hoy,41,Australia,2000,10/1/00,Equestrian,1,1,0,2
David O'Connor,38,United States,2000,10/1/00,Equestrian,1,0,1,2
Ulla Salzgeber,42,Germany,2000,10/1/00,Equestrian,1,0,1,2
Anky van Grunsven,32,Netherlands,2000,10/1/00,Equestrian,1,1,0,2
Isabell Werth,31,Germany,2000,10/1/00,Equestrian,1,1,0,2
David Boudia,23,United States,2012,8/12/12,Diving,1,0,1,2
Chen Ruolin,19,China,2012,8/12/12,Diving,2,0,0,2
He Zi,21,China,2012,8/12/12,Diving,1,1,0,2
Qin Kai,26,China,2012,8/12/12,Diving,1,1,0,2
Wu Minxia,26,China,2012,8/12/12,Diving,2,0,0,2
Ilya Zakharov,21,Russia,2012,8/12/12,Diving,1,1,0,2
Chen Ruolin,15,China,2008,8/24/08,Diving,2,0,0,2
Gleb Galperin,25,Russia,2008,8/24/08,Diving,0,0,2,2
Guo Jingjing,26,China,2008,8/24/08,Diving,2,0,0,2
Yuliya Pakhalina,30,Russia,2008,8/24/08,Diving,0,2,0,2
Qin Kai,22,China,2008,8/24/08,Diving,1,0,1,2
Wang Xin,16,China,2008,8/24/08,Diving,1,0,1,2
Wu Minxia,22,China,2008,8/24/08,Diving,1,0,1,2
Guo Jingjing,22,China,2004,8/29/04,Diving,2,0,0,2
Mathew Helm,23,Australia,2004,8/29/04,Diving,0,1,1,2
Lao Lishi,16,China,2004,8/29/04,Diving,1,1,0,2
Chantelle Michell-Newbery,27,Australia,2004,8/29/04,Diving,1,0,1,2
Robert Newbery,25,Australia,2004,8/29/04,Diving,0,0,2,2
Yuliya Pakhalina,26,Russia,2004,8/29/04,Diving,0,1,1,2
Tian Liang,24,China,2004,8/29/04,Diving,1,0,1,2
Wu Minxia,18,China,2004,8/29/04,Diving,1,1,0,2
Fu Mingxia,22,China,2000,10/1/00,Diving,1,1,0,2
Guo Jingjing,18,China,2000,10/1/00,Diving,0,2,0,2
Hu Jia,17,China,2000,10/1/00,Diving,0,2,0,2
Li Na,16,China,2000,10/1/00,Diving,1,1,0,2
Anne Montminy,25,Canada,2000,10/1/00,Diving,0,1,1,2
Tian Liang,21,China,2000,10/1/00,Diving,1,1,0,2
Xiong Ni,26,China,2000,10/1/00,Diving,2,0,0,2
Gr_gory Baug_,27,France,2012,8/12/12,Cycling,0,2,0,2
Ed Clancy,27,Great Britain,2012,8/12/12,Cycling,1,0,1,2
Sarah Hammer,28,United States,2012,8/12/12,Cycling,0,2,0,2
Chris Hoy,36,Great Britain,2012,8/12/12,Cycling,2,0,0,2
Jason Kenny,24,Great Britain,2012,8/12/12,Cycling,2,0,0,2
Maximilian Levy,25,Germany,2012,8/12/12,Cycling,0,1,1,2
Anna Meares,28,Australia,2012,8/12/12,Cycling,1,0,1,2
Vicki Pendleton,31,Great Britain,2012,8/12/12,Cycling,1,1,0,2
Laura Trott,20,Great Britain,2012,8/12/12,Cycling,2,0,0,2
Olga Zabelinskaya,32,Russia,2012,8/12/12,Cycling,0,0,2,2
Micka_l Bourgain,28,France,2008,8/24/08,Cycling,0,1,1,2
Fabian Cancellara,27,Switzerland,2008,8/24/08,Cycling,1,1,0,2
Jason Kenny,20,Great Britain,2008,8/24/08,Cycling,1,1,0,2
Joan Llaneras,39,Spain,2008,8/24/08,Cycling,1,1,0,2
Hayden Roulston,27,New Zealand,2008,8/24/08,Cycling,0,1,1,2
Bradley Wiggins,28,Great Britain,2008,8/24/08,Cycling,2,0,0,2
Ryan Bayley,22,Australia,2004,8/29/04,Cycling,2,0,0,2
Graeme Brown,25,Australia,2004,8/29/04,Cycling,2,0,0,2
Sergi Escobar,29,Spain,2004,8/29/04,Cycling,0,0,2,2
Rob Hayles,31,Great Britain,2004,8/29/04,Cycling,0,1,1,2
Brad McGee,28,Australia,2004,8/29/04,Cycling,1,1,0,2
Anna Meares,20,Australia,2004,8/29/04,Cycling,1,0,1,2
Stefan Nimke,26,Germany,2004,8/29/04,Cycling,1,0,1,2
Olga Slyusareva,35,Russia,2004,8/29/04,Cycling,1,0,1,2
Arnaud Tournant,26,France,2004,8/29/04,Cycling,0,1,1,2
Ren_ Wolff,26,Germany,2004,8/29/04,Cycling,1,0,1,2
Leontien Zijlaard-van Moorsel,34,Netherlands,2004,8/29/04,Cycling,1,0,1,2
F_licia Ballanger,29,France,2000,10/1/00,Cycling,2,0,0,2
Robert Bartko,24,Germany,2000,10/1/00,Cycling,2,0,0,2
Jens Fiedler,30,Germany,2000,10/1/00,Cycling,0,0,2,2
Jens Lehmann,32,Germany,2000,10/1/00,Cycling,1,1,0,2
Gary Neiwand,34,Australia,2000,10/1/00,Cycling,0,1,1,2
Jason Queally,30,Great Britain,2000,10/1/00,Cycling,1,1,0,2
Jan Ullrich,26,Germany,2000,10/1/00,Cycling,1,1,0,2
Luk__ Bauer,32,Czech Republic,2010,2/28/10,Cross Country Skiing,0,0,2,2
Anna Haag,23,Sweden,2010,2/28/10,Cross Country Skiing,0,2,0,2
Marcus Hellner,24,Sweden,2010,2/28/10,Cross Country Skiing,2,0,0,2
Charlotte Kalla,22,Sweden,2010,2/28/10,Cross Country Skiing,1,1,0,2
Claudia K_nzel-Nystad,32,Germany,2010,2/28/10,Cross Country Skiing,1,1,0,2
Aino-Kaisa Saarinen,31,Finland,2010,2/28/10,Cross Country Skiing,0,0,2,2
Evi Sachenbacher-Stehle,29,Germany,2010,2/28/10,Cross Country Skiing,1,1,0,2
Axel Teichmann,30,Germany,2010,2/28/10,Cross Country Skiing,0,2,0,2
Tobias Angerer,28,Germany,2006,2/26/06,Cross Country Skiing,0,1,1,2
Yuliya Chepalova,29,Russia,2006,2/26/06,Cross Country Skiing,1,1,0,2
Yevgeny Dementyev,23,Russia,2006,2/26/06,Cross Country Skiing,1,1,0,2
Giorgio Di Centa,33,Italy,2006,2/26/06,Cross Country Skiing,2,0,0,2
Thobias Fredriksson,30,Sweden,2006,2/26/06,Cross Country Skiing,1,0,1,2
Claudia K_nzel-Nystad,28,Germany,2006,2/26/06,Cross Country Skiing,0,2,0,2
Bj_rn Lind,27,Sweden,2006,2/26/06,Cross Country Skiing,2,0,0,2
Yevgeniya Medvedeva,29,Russia,2006,2/26/06,Cross Country Skiing,1,0,1,2
Katerina Neumannov_,32,Czech Republic,2006,2/26/06,Cross Country Skiing,1,1,0,2
Pietro Piller Cottrer,31,Italy,2006,2/26/06,Cross Country Skiing,1,0,1,2
Kristina _migun-V_hi,28,Estonia,2006,2/26/06,Cross Country Skiing,2,0,0,2
Thomas Alsgaard,30,Norway,2002,2/24/02,Cross Country Skiing,2,0,0,2
Viola Bauer,25,Germany,2002,2/24/02,Cross Country Skiing,1,0,1,2
Anita Moen-Guidon,34,Norway,2002,2/24/02,Cross Country Skiing,0,1,1,2
Katerina Neumannov_,28,Czech Republic,2002,2/24/02,Cross Country Skiing,0,2,0,2
Evi Sachenbacher-Stehle,21,Germany,2002,2/24/02,Cross Country Skiing,1,1,0,2
Kristen Skjeldal,34,Norway,2002,2/24/02,Cross Country Skiing,1,0,1,2
Andrus Veerpalu,31,Estonia,2002,2/24/02,Cross Country Skiing,1,1,0,2
Cristian Zorzi,29,Italy,2002,2/24/02,Cross Country Skiing,0,1,1,2
Tina Dietze,24,Germany,2012,8/12/12,Canoeing,1,1,0,2
Natasa Douchev-Janics,30,Hungary,2012,8/12/12,Canoeing,0,1,1,2
Katalin Kov_cs,36,Hungary,2012,8/12/12,Canoeing,1,1,0,2
Danuta Koz_k,25,Hungary,2012,8/12/12,Canoeing,2,0,0,2
Inna Osypenko-Radomska,29,Ukraine,2012,8/12/12,Canoeing,0,2,0,2
Franziska Weber,23,Germany,2012,8/12/12,Canoeing,1,1,0,2
Tim Brabants,31,Great Britain,2008,8/24/08,Canoeing,1,0,1,2
David Cal,25,Spain,2008,8/24/08,Canoeing,0,2,0,2
Natasa Douchev-Janics,26,Hungary,2008,8/24/08,Canoeing,1,1,0,2
Christian Gille,32,Germany,2008,8/24/08,Canoeing,0,1,1,2
Katalin Kov_cs,32,Hungary,2008,8/24/08,Canoeing,1,1,0,2
Vadim Makhnyov,28,Belarus,2008,8/24/08,Canoeing,1,0,1,2
Roman Petrushenko,27,Belarus,2008,8/24/08,Canoeing,1,0,1,2
Katrin Wagner-Augustin,30,Germany,2008,8/24/08,Canoeing,1,0,1,2
Ken Wallace,25,Australia,2008,8/24/08,Canoeing,1,0,1,2
Tomasz Wylenzek,25,Germany,2008,8/24/08,Canoeing,0,1,1,2
Nathan Baggaley,28,Australia,2004,8/29/04,Canoeing,0,2,0,2
David Cal,21,Spain,2004,8/29/04,Canoeing,1,1,0,2
Andreas Dittmer,32,Germany,2004,8/29/04,Canoeing,1,1,0,2
Natasa Douchev-Janics,22,Hungary,2004,8/29/04,Canoeing,2,0,0,2
Birgit Fischer-Schmidt,42,Germany,2004,8/29/04,Canoeing,1,1,0,2
Aleksandr Kostoglod,30,Russia,2004,8/29/04,Canoeing,0,1,1,2
Katalin Kov_cs,28,Hungary,2004,8/29/04,Canoeing,1,1,0,2
Aleksandr Kovalyov,29,Russia,2004,8/29/04,Canoeing,0,1,1,2
Eirik Ver_s Larsen,28,Norway,2004,8/29/04,Canoeing,1,0,1,2
Carolin Leonhardt,19,Germany,2004,8/29/04,Canoeing,1,1,0,2
Adam Van Koeverden,22,Canada,2004,8/29/04,Canoeing,1,0,1,2
Andreas Dittmer,28,Germany,2000,10/1/00,Canoeing,1,0,1,2
Birgit Fischer-Schmidt,38,Germany,2000,10/1/00,Canoeing,2,0,0,2
Knut Holmann,32,Norway,2000,10/1/00,Canoeing,2,0,0,2
Zolt_n Kammerer,22,Hungary,2000,10/1/00,Canoeing,2,0,0,2
Katalin Kov_cs,24,Hungary,2000,10/1/00,Canoeing,0,2,0,2
Petar Merkov,23,Bulgaria,2000,10/1/00,Canoeing,0,2,0,2
Florin Popescu,26,Romania,2000,10/1/00,Canoeing,1,0,1,2
Mitica Pricop,22,Romania,2000,10/1/00,Canoeing,1,0,1,2
Botond Storcz,25,Hungary,2000,10/1/00,Canoeing,2,0,0,2
Szilvia Szab_,21,Hungary,2000,10/1/00,Canoeing,0,2,0,2
Katrin Wagner-Augustin,22,Germany,2000,10/1/00,Canoeing,2,0,0,2
Kevin Kuske,31,Germany,2010,2/28/10,Bobsleigh,1,1,0,2
Andr_ Lange,36,Germany,2010,2/28/10,Bobsleigh,1,1,0,2
Martin Annen,32,Switzerland,2006,2/26/06,Bobsleigh,0,0,2,2
Beat Hefti,28,Switzerland,2006,2/26/06,Bobsleigh,0,0,2,2
Kevin Kuske,27,Germany,2006,2/26/06,Bobsleigh,2,0,0,2
Andr_ Lange,32,Germany,2006,2/26/06,Bobsleigh,2,0,0,2
Ole Einar Bj_rndalen,36,Norway,2010,2/28/10,Biathlon,1,1,0,2
Marie Laure Brunet,21,France,2010,2/28/10,Biathlon,0,1,1,2
Marie Dorin,23,France,2010,2/28/10,Biathlon,0,1,1,2
Simone Hauswald,30,Germany,2010,2/28/10,Biathlon,0,0,2,2
Vincent Jay,24,France,2010,2/28/10,Biathlon,1,0,1,2
Anastasia Kuzmina,25,Slovakia,2010,2/28/10,Biathlon,1,1,0,2
Christoph Sumann,34,Austria,2010,2/28/10,Biathlon,0,2,0,2
Yevgeny Ustyugov,24,Russia,2010,2/28/10,Biathlon,1,0,1,2
Olga Zaytseva,31,Russia,2010,2/28/10,Biathlon,1,1,0,2
Florence Baverel-Robert,31,France,2006,2/26/06,Biathlon,1,0,1,2
Vincent Defrasne,28,France,2006,2/26/06,Biathlon,1,0,1,2
Halvard Hanevold,36,Norway,2006,2/26/06,Biathlon,0,1,1,2
Svetlana Ishmuratova,33,Russia,2006,2/26/06,Biathlon,2,0,0,2
Anna-Carin Olofsson-Zidek,32,Sweden,2006,2/26/06,Biathlon,1,1,0,2
Uschi Disl,31,Germany,2002,2/24/02,Biathlon,1,1,0,2
Sven Fischer,30,Germany,2002,2/24/02,Biathlon,0,2,0,2
Ricco Gro_,31,Germany,2002,2/24/02,Biathlon,0,1,1,2
Andrea Henkel,24,Germany,2002,2/24/02,Biathlon,2,0,0,2
Frank Luck,34,Germany,2002,2/24/02,Biathlon,0,2,0,2
Rapha_l Poir_e,27,France,2002,2/24/02,Biathlon,0,1,1,2
Olga Pylyova-Medvedtseva,26,Russia,2002,2/24/02,Biathlon,1,0,1,2
Liv Grete Skjelbreid-Poir_e,27,Norway,2002,2/24/02,Biathlon,0,2,0,2
Magdalena Wallin-Forsberg,34,Sweden,2002,2/24/02,Biathlon,0,0,2,2
Zhao Yunlei,25,China,2012,8/12/12,Badminton,2,0,0,2
Lee Hyo-Jeong,27,South Korea,2008,8/24/08,Badminton,1,1,0,2
Yu Yang,22,China,2008,8/24/08,Badminton,1,0,1,2
Gao Ling,25,China,2004,8/29/04,Badminton,1,1,0,2
Gao Ling,21,China,2000,10/1/00,Badminton,1,0,1,2
Nataliya Antyukh,31,Russia,2012,8/12/12,Athletics,1,1,0,2
Veronica Campbell-Brown,30,Jamaica,2012,8/12/12,Athletics,0,1,1,2
Vivian Cheruiyot,28,Kenya,2012,8/12/12,Athletics,0,1,1,2
Will Claye,21,United States,2012,8/12/12,Athletics,0,1,1,2
Tirunesh Dibaba,27,Ethiopia,2012,8/12/12,Athletics,1,0,1,2
Mo Farah,29,Great Britain,2012,8/12/12,Athletics,2,0,0,2
Justin Gatlin,30,United States,2012,8/12/12,Athletics,0,1,1,2
Lalonde Gordon,23,Trinidad and Tobago,2012,8/12/12,Athletics,0,0,2,2
Sanya Richards-Ross,27,United States,2012,8/12/12,Athletics,2,0,0,2
DeeDee Trotter,29,United States,2012,8/12/12,Athletics,1,0,1,2
Elvan Abeylegesse,25,Turkey,2008,8/24/08,Athletics,0,2,0,2
Kenenisa Bekele,26,Ethiopia,2008,8/24/08,Athletics,2,0,0,2
Kerron Clement,22,United States,2008,8/24/08,Athletics,1,1,0,2
Tirunesh Dibaba,23,Ethiopia,2008,8/24/08,Athletics,2,0,0,2
Walter Dix,22,United States,2008,8/24/08,Athletics,0,0,2,2
Allyson Felix,22,United States,2008,8/24/08,Athletics,1,1,0,2
Yuliya Gushchina,25,Russia,2008,8/24/08,Athletics,1,1,0,2
Tatyana Lebedeva,32,Russia,2008,8/24/08,Athletics,0,2,0,2
LaShawn Merritt,22,United States,2008,8/24/08,Athletics,2,0,0,2
David Neville,24,United States,2008,8/24/08,Athletics,1,0,1,2
Sanya Richards-Ross,23,United States,2008,8/24/08,Athletics,1,0,1,2
Kerron Stewart,24,Jamaica,2008,8/24/08,Athletics,0,1,1,2
Jared Tallent,23,Australia,2008,8/24/08,Athletics,0,1,1,2
Angelo Taylor,29,United States,2008,8/24/08,Athletics,2,0,0,2
Richard Thompson,23,Trinidad and Tobago,2008,8/24/08,Athletics,0,2,0,2
Jeremy Wariner,24,United States,2008,8/24/08,Athletics,1,1,0,2
Shericka Williams,22,Jamaica,2008,8/24/08,Athletics,0,1,1,2
Nataliya Antyukh,23,Russia,2004,8/29/04,Athletics,0,1,1,2
Kenenisa Bekele,22,Ethiopia,2004,8/29/04,Athletics,1,1,0,2
Derrick Brew,26,United States,2004,8/29/04,Athletics,1,0,1,2
Shawn Crawford,26,United States,2004,8/29/04,Athletics,1,1,0,2
Hicham El Guerrouj,29,Morocco,2004,8/29/04,Athletics,2,0,0,2
Maurice Greene,30,United States,2004,8/29/04,Athletics,0,1,1,2
Otis Harris,22,United States,2004,8/29/04,Athletics,1,1,0,2
Kelly Holmes,34,Great Britain,2004,8/29/04,Athletics,2,0,0,2
Tatyana Lebedeva,28,Russia,2004,8/29/04,Athletics,1,0,1,2
Jeremy Wariner,20,United States,2004,8/29/04,Athletics,2,0,0,2
Ato Boldon,26,Trinidad and Tobago,2000,10/1/00,Athletics,0,1,1,2
Pauline Davis-Thompson,34,Bahamas,2000,10/1/00,Athletics,2,0,0,2
Lorraine Graham,27,Jamaica,2000,10/1/00,Athletics,0,2,0,2
Maurice Greene,26,United States,2000,10/1/00,Athletics,2,0,0,2
Greg Haughton,26,Jamaica,2000,10/1/00,Athletics,0,1,1,2
Deon Hemmings,31,Jamaica,2000,10/1/00,Athletics,0,2,0,2
Robert Korzeniowski,32,Poland,2000,10/1/00,Athletics,2,0,0,2
Tayna Lawrence,25,Jamaica,2000,10/1/00,Athletics,0,2,0,2
Beverly McDonald,30,Jamaica,2000,10/1/00,Athletics,0,1,1,2
Merlene Ottey-Page,40,Jamaica,2000,10/1/00,Athletics,0,1,1,2
Irina Privalova,31,Russia,2000,10/1/00,Athletics,1,0,1,2
Gabriela Szabo,24,Romania,2000,10/1/00,Athletics,1,0,1,2
Gete Wami,25,Ethiopia,2000,10/1/00,Athletics,0,1,1,2
Elisabeth G_rgl,28,Austria,2010,2/28/10,Alpine Skiing,0,0,2,2
Lindsey Kildow-Vonn,25,United States,2010,2/28/10,Alpine Skiing,1,0,1,2
Ivica Kostelic,30,Croatia,2010,2/28/10,Alpine Skiing,0,2,0,2
Julia Mancuso,25,United States,2010,2/28/10,Alpine Skiing,0,2,0,2
Tina Maze,26,Slovenia,2010,2/28/10,Alpine Skiing,0,2,0,2
Maria Riesch,25,Germany,2010,2/28/10,Alpine Skiing,2,0,0,2
Michaela Dorfmeister,32,Austria,2006,2/26/06,Alpine Skiing,2,0,0,2
Janica Kostelic,24,Croatia,2006,2/26/06,Alpine Skiing,1,1,0,2
Hermann Maier,33,Austria,2006,2/26/06,Alpine Skiing,0,1,1,2
Benjamin Raich,27,Austria,2006,2/26/06,Alpine Skiing,2,0,0,2
Marlies Schild,24,Austria,2006,2/26/06,Alpine Skiing,0,1,1,2
Rainer Sch_nfelder,28,Austria,2006,2/26/06,Alpine Skiing,0,0,2,2
Kjetil Andr_ Aamodt,30,Norway,2002,2/24/02,Alpine Skiing,2,0,0,2
Renate G_tschl,26,Austria,2002,2/24/02,Alpine Skiing,0,1,1,2
Lasse Kjus,31,Norway,2002,2/24/02,Alpine Skiing,0,1,1,2
Bode Miller,24,United States,2002,2/24/02,Alpine Skiing,0,2,0,2
Anja P_rson,20,Sweden,2002,2/24/02,Alpine Skiing,0,1,1,2
Benjamin Raich,23,Austria,2002,2/24/02,Alpine Skiing,0,0,2,2
Ki Bo-Bae,24,South Korea,2012,8/12/12,Archery,2,0,0,2
Oh Jin-Hyek,30,South Korea,2012,8/12/12,Archery,1,0,1,2
Park Gyeong-Mo,32,South Korea,2008,8/24/08,Archery,1,1,0,2
Park Seong-Hyeon,25,South Korea,2008,8/24/08,Archery,1,1,0,2
Yun Ok-Hui,23,South Korea,2008,8/24/08,Archery,1,0,1,2
Zhang Juanjuan,27,China,2008,8/24/08,Archery,1,1,0,2
Lee Seong-Jin,19,South Korea,2004,8/29/04,Archery,1,1,0,2
Park Seong-Hyeon,21,South Korea,2004,8/29/04,Archery,2,0,0,2
Kim Nam-Sun,20,South Korea,2000,10/1/00,Archery,1,1,0,2
Kim Su-Nyeong,29,South Korea,2000,10/1/00,Archery,1,0,1,2
Vic Wunderle,24,United States,2000,10/1/00,Archery,0,1,1,2
Yun Mi-Jin,17,South Korea,2000,10/1/00,Archery,2,0,0,2
Artur Aleksanyan,20,Armenia,2012,8/12/12,Wrestling,0,0,1,1
Valeriy Andriitsev,25,Ukraine,2012,8/12/12,Wrestling,0,1,0,1
R_vs?n Bayramov,25,Azerbaijan,2012,8/12/12,Wrestling,0,1,0,1
Jordan Burroughs,24,United States,2012,8/12/12,Wrestling,1,0,0,1
Clarissa Chun,30,United States,2012,8/12/12,Wrestling,0,0,1,1
Yogeshwar Dutt,29,India,2012,8/12/12,Wrestling,0,0,1,1
Jaime Espinal,27,Puerto Rico,2012,8/12/12,Wrestling,0,1,0,1
Johan Eur_n,27,Sweden,2012,8/12/12,Wrestling,0,0,1,1
Karam Gaber,32,Egypt,2012,8/12/12,Wrestling,0,1,0,1
Daniyal Gadzhiyev,26,Kazakhstan,2012,8/12/12,Wrestling,0,0,1,1
Komeil Ghasemi,24,Iran,2012,8/12/12,Wrestling,0,0,1,1
Giorgi Gogshelidze,32,Georgia,2012,8/12/12,Wrestling,0,0,1,1
Sadegh Goudarzi,24,Iran,2012,8/12/12,Wrestling,0,1,0,1
Steeve Gu_not,26,France,2012,8/12/12,Wrestling,0,0,1,1
Carol Huynh,31,Canada,2012,8/12/12,Wrestling,0,0,1,1
Kaori Icho,28,Japan,2012,8/12/12,Wrestling,1,0,0,1
Damian Janikowski,23,Poland,2012,8/12/12,Wrestling,0,0,1,1
